date,rank,song,artist,last-week,peak-rank,weeks-on-board
29/01/1977,1,Car Wash,Rose Royce,2,1,15
05/02/1977,1,Torn Between Two Lovers,Mary Macgregor,7,1,12
12/02/1977,1,Torn Between Two Lovers,Mary Macgregor,1,1,13
19/02/1977,1,Blinded By The Light,Manfred Mann's Earth Band,3,1,14
26/02/1977,1,New Kid In Town,Eagles,2,1,11
05/03/1977,1,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,2,1,13
12/03/1977,1,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,1,1,14
19/03/1977,1,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,1,1,15
26/03/1977,1,Rich Girl,Daryl Hall John Oates,3,1,10
02/04/1977,1,Rich Girl,Daryl Hall John Oates,1,1,11
09/04/1977,1,Dancing Queen,ABBA,2,1,18
16/04/1977,1,Don't Give Up On Us,David Soul,2,1,12
23/04/1977,1,Don't Leave Me This Way,Thelma Houston,2,1,19
30/04/1977,1,Southern Nights,Glen Campbell,2,1,12
07/05/1977,1,Hotel California,Eagles,2,1,11
14/05/1977,1,When I Need You,Leo Sayer,2,1,12
21/05/1977,1,Sir Duke,Stevie Wonder,2,1,8
28/05/1977,1,Sir Duke,Stevie Wonder,1,1,9
04/06/1977,1,Sir Duke,Stevie Wonder,1,1,10
11/06/1977,1,I'm Your Boogie Man,KC And The Sunshine Band,2,1,16
18/06/1977,1,Dreams,Fleetwood Mac,2,1,10
25/06/1977,1,Got To Give It Up (Pt. I),Marvin Gaye,2,1,11
02/07/1977,1,Gonna Fly Now,Bill Conti,2,1,11
09/07/1977,1,Undercover Angel,Alan O'Day,2,1,15
16/07/1977,1,Da Doo Ron Ron,Shaun Cassidy,2,1,10
23/07/1977,1,Looks Like We Made It,Barry Manilow,2,1,12
30/07/1977,1,I Just Want To Be Your Everything,Andy Gibb,2,1,15
06/08/1977,1,I Just Want To Be Your Everything,Andy Gibb,1,1,16
13/08/1977,1,I Just Want To Be Your Everything,Andy Gibb,1,1,17
20/08/1977,1,Best Of My Love,The Emotions,3,1,11
27/08/1977,1,Best Of My Love,The Emotions,1,1,12
03/09/1977,1,Best Of My Love,The Emotions,1,1,13
10/09/1977,1,Best Of My Love,The Emotions,1,1,14
17/09/1977,1,I Just Want To Be Your Everything,Andy Gibb,3,1,22
24/09/1977,1,Best Of My Love,The Emotions,3,1,16
01/10/1977,1,Star Wars Theme/Cantina Band,Meco,8,1,9
08/10/1977,1,Star Wars Theme/Cantina Band,Meco,1,1,10
15/10/1977,1,You Light Up My Life,Debby Boone,3,1,7
22/10/1977,1,You Light Up My Life,Debby Boone,1,1,8
29/10/1977,1,You Light Up My Life,Debby Boone,1,1,9
05/11/1977,1,You Light Up My Life,Debby Boone,1,1,10
12/11/1977,1,You Light Up My Life,Debby Boone,1,1,11
19/11/1977,1,You Light Up My Life,Debby Boone,1,1,12
26/11/1977,1,You Light Up My Life,Debby Boone,1,1,13
03/12/1977,1,You Light Up My Life,Debby Boone,1,1,14
10/12/1977,1,You Light Up My Life,Debby Boone,1,1,15
17/12/1977,1,You Light Up My Life,Debby Boone,1,1,16
24/12/1977,1,How Deep Is Your Love,Bee Gees,2,1,14
