date,rank,song,artist,last-week,peak-rank,weeks-on-board
15/01/1983,1,Down Under,Men At Work,4,1,11
22/01/1983,1,Down Under,Men At Work,1,1,12
29/01/1983,1,Down Under,Men At Work,1,1,13
05/02/1983,1,Africa,Toto,2,1,15
12/02/1983,1,Down Under,Men At Work,2,1,15
19/02/1983,1,"Baby, Come To Me",Patti Austin A Duet With James Ingram,2,1,23
26/02/1983,1,"Baby, Come To Me",Patti Austin A Duet With James Ingram,1,1,24
05/03/1983,1,Billie Jean,Michael Jackson,4,1,7
12/03/1983,1,Billie Jean,Michael Jackson,1,1,8
19/03/1983,1,Billie Jean,Michael Jackson,1,1,9
26/03/1983,1,Billie Jean,Michael Jackson,1,1,10
02/04/1983,1,Billie Jean,Michael Jackson,1,1,11
09/04/1983,1,Billie Jean,Michael Jackson,1,1,12
16/04/1983,1,Billie Jean,Michael Jackson,1,1,13
23/04/1983,1,Come On Eileen,Dexys Midnight Runners,2,1,14
30/04/1983,1,Beat It,Michael Jackson,2,1,10
07/05/1983,1,Beat It,Michael Jackson,1,1,11
14/05/1983,1,Beat It,Michael Jackson,1,1,12
21/05/1983,1,Let's Dance,David Bowie,2,1,9
28/05/1983,1,Flashdance...What A Feeling,Irene Cara,3,1,9
04/06/1983,1,Flashdance...What A Feeling,Irene Cara,1,1,10
11/06/1983,1,Flashdance...What A Feeling,Irene Cara,1,1,11
18/06/1983,1,Flashdance...What A Feeling,Irene Cara,1,1,12
25/06/1983,1,Flashdance...What A Feeling,Irene Cara,1,1,13
02/07/1983,1,Flashdance...What A Feeling,Irene Cara,1,1,14
09/07/1983,1,Every Breath You Take,The Police,3,1,6
16/07/1983,1,Every Breath You Take,The Police,1,1,7
23/07/1983,1,Every Breath You Take,The Police,1,1,8
30/07/1983,1,Every Breath You Take,The Police,1,1,9
06/08/1983,1,Every Breath You Take,The Police,1,1,10
13/08/1983,1,Every Breath You Take,The Police,1,1,11
20/08/1983,1,Every Breath You Take,The Police,1,1,12
27/08/1983,1,Every Breath You Take,The Police,1,1,13
03/09/1983,1,Sweet Dreams (Are Made Of This),Eurythmics,2,1,17
10/09/1983,1,Maniac,Michael Sembello,2,1,15
17/09/1983,1,Maniac,Michael Sembello,1,1,16
24/09/1983,1,Tell Her About It,Billy Joel,2,1,9
01/10/1983,1,Total Eclipse Of The Heart,Bonnie Tyler,2,1,12
08/10/1983,1,Total Eclipse Of The Heart,Bonnie Tyler,1,1,13
15/10/1983,1,Total Eclipse Of The Heart,Bonnie Tyler,1,1,14
22/10/1983,1,Total Eclipse Of The Heart,Bonnie Tyler,1,1,15
29/10/1983,1,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,3,1,10
05/11/1983,1,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,1,1,11
12/11/1983,1,All Night Long (All Night),Lionel Richie,2,1,9
19/11/1983,1,All Night Long (All Night),Lionel Richie,1,1,10
26/11/1983,1,All Night Long (All Night),Lionel Richie,1,1,11
03/12/1983,1,All Night Long (All Night),Lionel Richie,1,1,12
10/12/1983,1,Say Say Say,Paul McCartney And Michael Jackson,2,1,9
17/12/1983,1,Say Say Say,Paul McCartney And Michael Jackson,1,1,10
24/12/1983,1,Say Say Say,Paul McCartney And Michael Jackson,1,1,11
31/12/1983,1,Say Say Say,Paul McCartney And Michael Jackson,,1,12
07/01/1984,1,Say Say Say,Paul McCartney And Michael Jackson,1,1,13
14/01/1984,1,Say Say Say,Paul McCartney And Michael Jackson,1,1,14
21/01/1984,1,Owner Of A Lonely Heart,Yes,2,1,12
28/01/1984,1,Owner Of A Lonely Heart,Yes,1,1,13
04/02/1984,1,Karma Chameleon,Culture Club,2,1,10
11/02/1984,1,Karma Chameleon,Culture Club,1,1,11
18/02/1984,1,Karma Chameleon,Culture Club,1,1,12
25/02/1984,1,Jump,Van Halen,2,1,7
03/03/1984,1,Jump,Van Halen,1,1,8
10/03/1984,1,Jump,Van Halen,1,1,9
17/03/1984,1,Jump,Van Halen,1,1,10
24/03/1984,1,Jump,Van Halen,1,1,11
31/03/1984,1,Footloose,Kenny Loggins,4,1,10
07/04/1984,1,Footloose,Kenny Loggins,1,1,11
14/04/1984,1,Footloose,Kenny Loggins,1,1,12
21/04/1984,1,Against All Odds (Take A Look At Me Now),Phil Collins,2,1,9
28/04/1984,1,Against All Odds (Take A Look At Me Now),Phil Collins,1,1,10
05/05/1984,1,Against All Odds (Take A Look At Me Now),Phil Collins,1,1,11
12/05/1984,1,Hello,Lionel Richie,2,1,12
19/05/1984,1,Hello,Lionel Richie,1,1,13
26/05/1984,1,Let's Hear It For The Boy,Deniece Williams,2,1,8
02/06/1984,1,Let's Hear It For The Boy,Deniece Williams,1,1,9
09/06/1984,1,Time After Time,Cyndi Lauper,2,1,9
16/06/1984,1,Time After Time,Cyndi Lauper,1,1,10
23/06/1984,1,The Reflex,Duran Duran,2,1,10
30/06/1984,1,The Reflex,Duran Duran,1,1,11
07/07/1984,1,When Doves Cry,Prince,3,1,6
14/07/1984,1,When Doves Cry,Prince,1,1,7
21/07/1984,1,When Doves Cry,Prince,1,1,8
28/07/1984,1,When Doves Cry,Prince,1,1,9
04/08/1984,1,When Doves Cry,Prince,1,1,10
11/08/1984,1,Ghostbusters,Ray Parker Jr.,2,1,9
18/08/1984,1,Ghostbusters,Ray Parker Jr.,1,1,10
25/08/1984,1,Ghostbusters,Ray Parker Jr.,1,1,11
01/09/1984,1,What's Love Got To Do With It,Tina Turner,2,1,16
08/09/1984,1,What's Love Got To Do With It,Tina Turner,1,1,17
15/09/1984,1,What's Love Got To Do With It,Tina Turner,1,1,18
22/09/1984,1,Missing You,John Waite,2,1,14
29/09/1984,1,Let's Go Crazy,Prince And The Revolution,2,1,9
06/10/1984,1,Let's Go Crazy,Prince And The Revolution,1,1,10
13/10/1984,1,I Just Called To Say I Love You,Stevie Wonder,2,1,9
20/10/1984,1,I Just Called To Say I Love You,Stevie Wonder,1,1,10
27/10/1984,1,I Just Called To Say I Love You,Stevie Wonder,1,1,11
03/11/1984,1,Caribbean Queen (No More Love On The Run),Billy Ocean,2,1,13
10/11/1984,1,Caribbean Queen (No More Love On The Run),Billy Ocean,1,1,14
17/11/1984,1,Wake Me Up Before You Go-Go,Wham!,4,1,11
24/11/1984,1,Wake Me Up Before You Go-Go,Wham!,1,1,12
01/12/1984,1,Wake Me Up Before You Go-Go,Wham!,1,1,13
08/12/1984,1,Out Of Touch,Daryl Hall John Oates,2,1,11
15/12/1984,1,Out Of Touch,Daryl Hall John Oates,1,1,12
22/12/1984,1,Like A Virgin,Madonna,3,1,6
29/12/1984,1,Like A Virgin,Madonna,,1,7
05/01/1985,1,Like A Virgin,Madonna,1,1,8
12/01/1985,1,Like A Virgin,Madonna,1,1,9
19/01/1985,1,Like A Virgin,Madonna,1,1,10
26/01/1985,1,Like A Virgin,Madonna,1,1,11
02/02/1985,1,I Want To Know What Love Is,Foreigner,2,1,9
09/02/1985,1,I Want To Know What Love Is,Foreigner,1,1,10
16/02/1985,1,Careless Whisper,Wham! Featuring George Michael,3,1,9
23/02/1985,1,Careless Whisper,Wham! Featuring George Michael,1,1,10
02/03/1985,1,Careless Whisper,Wham! Featuring George Michael,1,1,11
09/03/1985,1,Can't Fight This Feeling,REO Speedwagon,2,1,8
16/03/1985,1,Can't Fight This Feeling,REO Speedwagon,1,1,9
23/03/1985,1,Can't Fight This Feeling,REO Speedwagon,1,1,10
30/03/1985,1,One More Night,Phil Collins,3,1,8
06/04/1985,1,One More Night,Phil Collins,1,1,9
13/04/1985,1,We Are The World,USA For Africa,2,1,4
20/04/1985,1,We Are The World,USA For Africa,1,1,5
27/04/1985,1,We Are The World,USA For Africa,1,1,6
04/05/1985,1,We Are The World,USA For Africa,1,1,7
11/05/1985,1,Crazy For You,Madonna,2,1,11
18/05/1985,1,Don't You (Forget About Me),Simple Minds,3,1,13
25/05/1985,1,Everything She Wants,Wham!,4,1,10
01/06/1985,1,Everything She Wants,Wham!,1,1,11
08/06/1985,1,Everybody Wants To Rule The World,Tears For Fears,2,1,13
15/06/1985,1,Everybody Wants To Rule The World,Tears For Fears,1,1,14
22/06/1985,1,Heaven,Bryan Adams,2,1,10
29/06/1985,1,Heaven,Bryan Adams,1,1,11
06/07/1985,1,Sussudio,Phil Collins,2,1,9
13/07/1985,1,A View To A Kill,Duran Duran,2,1,9
20/07/1985,1,A View To A Kill,Duran Duran,1,1,10
27/07/1985,1,Everytime You Go Away,Paul Young,3,1,12
03/08/1985,1,Shout,Tears For Fears,2,1,8
10/08/1985,1,Shout,Tears For Fears,1,1,9
17/08/1985,1,Shout,Tears For Fears,1,1,10
24/08/1985,1,The Power Of Love,Huey Lewis & The News,2,1,9
31/08/1985,1,The Power Of Love,Huey Lewis & The News,1,1,10
07/09/1985,1,St. Elmo's Fire (Man In Motion),John Parr,2,1,12
14/09/1985,1,St. Elmo's Fire (Man In Motion),John Parr,1,1,13
21/09/1985,1,Money For Nothing,Dire Straits,3,1,11
28/09/1985,1,Money For Nothing,Dire Straits,1,1,12
05/10/1985,1,Money For Nothing,Dire Straits,1,1,13
12/10/1985,1,Oh Sheila,Ready For The World,3,1,11
19/10/1985,1,Take On Me,a-ha,3,1,15
26/10/1985,1,Saving All My Love For You,Whitney Houston,2,1,11
02/11/1985,1,Part-Time Lover,Stevie Wonder,2,1,9
09/11/1985,1,Miami Vice Theme,Jan Hammer,2,1,10
16/11/1985,1,We Built This City,Starship,5,1,11
23/11/1985,1,We Built This City,Starship,1,1,12
30/11/1985,1,Separate Lives,Phil Collins and Marilyn Martin,3,1,9
07/12/1985,1,Broken Wings,Mr. Mister,3,1,12
14/12/1985,1,Broken Wings,Mr. Mister,1,1,13
21/12/1985,1,"Say You, Say Me",Lionel Richie,3,1,7
28/12/1985,1,"Say You, Say Me",Lionel Richie,1,1,8
04/01/1986,1,"Say You, Say Me",Lionel Richie,,1,9
11/01/1986,1,"Say You, Say Me",Lionel Richie,1,1,10
18/01/1986,1,That's What Friends Are For,Dionne & Friends,3,1,11
25/01/1986,1,That's What Friends Are For,Dionne & Friends,1,1,12
01/02/1986,1,That's What Friends Are For,Dionne & Friends,1,1,13
08/02/1986,1,That's What Friends Are For,Dionne & Friends,1,1,14
15/02/1986,1,How Will I Know,Whitney Houston,5,1,11
22/02/1986,1,How Will I Know,Whitney Houston,1,1,12
01/03/1986,1,Kyrie,Mr. Mister,2,1,11
08/03/1986,1,Kyrie,Mr. Mister,1,1,12
15/03/1986,1,Sara,Starship,2,1,12
22/03/1986,1,These Dreams,Heart,2,1,10
29/03/1986,1,Rock Me Amadeus,Falco,4,1,8
05/04/1986,1,Rock Me Amadeus,Falco,1,1,9
12/04/1986,1,Rock Me Amadeus,Falco,1,1,10
19/04/1986,1,Kiss,Prince And The Revolution,2,1,9
26/04/1986,1,Kiss,Prince And The Revolution,1,1,10
03/05/1986,1,Addicted To Love,Robert Palmer,2,1,13
10/05/1986,1,West End Girls,Pet Shop Boys,2,1,11
17/05/1986,1,Greatest Love Of All,Whitney Houston,3,1,8
24/05/1986,1,Greatest Love Of All,Whitney Houston,1,1,9
31/05/1986,1,Greatest Love Of All,Whitney Houston,1,1,10
07/06/1986,1,Live To Tell,Madonna,2,1,9
14/06/1986,1,On My Own,Patti LaBelle & Michael McDonald,2,1,13
21/06/1986,1,On My Own,Patti LaBelle & Michael McDonald,1,1,14
28/06/1986,1,On My Own,Patti LaBelle & Michael McDonald,1,1,15
05/07/1986,1,There'll Be Sad Songs (To Make You Cry),Billy Ocean,2,1,12
12/07/1986,1,Holding Back The Years,Simply Red,2,1,15
19/07/1986,1,Invisible Touch,Genesis,2,1,8
26/07/1986,1,Sledgehammer,Peter Gabriel,2,1,12
02/08/1986,1,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,5,1,9
09/08/1986,1,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,1,1,10
16/08/1986,1,Papa Don't Preach,Madonna,2,1,8
23/08/1986,1,Papa Don't Preach,Madonna,1,1,9
30/08/1986,1,Higher Love,Steve Winwood,2,1,12
06/09/1986,1,Venus,Bananarama,2,1,11
13/09/1986,1,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,2,1,13
20/09/1986,1,Stuck With You,Huey Lewis & The News,3,1,8
27/09/1986,1,Stuck With You,Huey Lewis & The News,1,1,9
04/10/1986,1,Stuck With You,Huey Lewis & The News,1,1,10
11/10/1986,1,When I Think Of You,Janet Jackson,3,1,10
18/10/1986,1,When I Think Of You,Janet Jackson,1,1,11
25/10/1986,1,True Colors,Cyndi Lauper,3,1,9
01/11/1986,1,True Colors,Cyndi Lauper,1,1,10
08/11/1986,1,Amanda,Boston,4,1,7
15/11/1986,1,Amanda,Boston,1,1,8
22/11/1986,1,Human,The Human League,2,1,11
29/11/1986,1,You Give Love A Bad Name,Bon Jovi,4,1,13
06/12/1986,1,The Next Time I Fall,Peter Cetera With Amy Grant,4,1,12
13/12/1986,1,The Way It Is,Bruce Hornsby & The Range,4,1,13
20/12/1986,1,Walk Like An Egyptian,The Bangles,2,1,13
27/12/1986,1,Walk Like An Egyptian,The Bangles,1,1,14
03/01/1987,1,Walk Like An Egyptian,The Bangles,,1,15
10/01/1987,1,Walk Like An Egyptian,The Bangles,1,1,16
17/01/1987,1,Shake You Down,Gregory Abbott,3,1,14
24/01/1987,1,At This Moment,Billy Vera & The Beaters,5,1,12
31/01/1987,1,At This Moment,Billy Vera & The Beaters,1,1,13
07/02/1987,1,Open Your Heart,Madonna,2,1,10
14/02/1987,1,Livin' On A Prayer,Bon Jovi,3,1,10
21/02/1987,1,Livin' On A Prayer,Bon Jovi,1,1,11
28/02/1987,1,Livin' On A Prayer,Bon Jovi,1,1,12
07/03/1987,1,Livin' On A Prayer,Bon Jovi,1,1,13
14/03/1987,1,Jacob's Ladder,Huey Lewis & The News,2,1,9
21/03/1987,1,Lean On Me,Club Nouveau,5,1,6
28/03/1987,1,Lean On Me,Club Nouveau,1,1,7
04/04/1987,1,Nothing's Gonna Stop Us Now,Starship,2,1,10
11/04/1987,1,Nothing's Gonna Stop Us Now,Starship,1,1,11
18/04/1987,1,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,3,1,9
25/04/1987,1,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1,1,10
02/05/1987,1,(I Just) Died In Your Arms,Cutting Crew,5,1,9
09/05/1987,1,(I Just) Died In Your Arms,Cutting Crew,1,1,10
16/05/1987,1,With or Without You,U2,3,1,9
23/05/1987,1,With or Without You,U2,1,1,10
30/05/1987,1,With or Without You,U2,1,1,11
06/06/1987,1,You Keep Me Hangin' On,Kim Wilde,2,1,11
13/06/1987,1,Always,Atlantic Starr,2,1,12
20/06/1987,1,Head To Toe,Lisa Lisa And Cult Jam,3,1,11
27/06/1987,1,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,3,1,7
04/07/1987,1,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1,1,8
11/07/1987,1,Alone,Heart,2,1,9
18/07/1987,1,Alone,Heart,1,1,10
25/07/1987,1,Alone,Heart,1,1,11
01/08/1987,1,"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,2,1,11
08/08/1987,1,I Still Haven't Found What I'm Looking For,U2,2,1,9
15/08/1987,1,I Still Haven't Found What I'm Looking For,U2,1,1,10
22/08/1987,1,Who's That Girl,Madonna,2,1,7
29/08/1987,1,La Bamba,Los Lobos,2,1,10
05/09/1987,1,La Bamba,Los Lobos,1,1,11
12/09/1987,1,La Bamba,Los Lobos,1,1,12
19/09/1987,1,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,2,1,7
26/09/1987,1,Didn't We Almost Have It All,Whitney Houston,2,1,9
03/10/1987,1,Didn't We Almost Have It All,Whitney Houston,1,1,10
10/10/1987,1,Here I Go Again,Whitesnake,2,1,15
17/10/1987,1,Lost In Emotion,Lisa Lisa And Cult Jam,2,1,12
24/10/1987,1,Bad,Michael Jackson,4,1,6
31/10/1987,1,Bad,Michael Jackson,1,1,7
07/11/1987,1,I Think We're Alone Now,Tiffany,3,1,11
14/11/1987,1,I Think We're Alone Now,Tiffany,1,1,12
21/11/1987,1,Mony Mony,Billy Idol,2,1,12
28/11/1987,1,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,2,1,10
05/12/1987,1,Heaven Is A Place On Earth,Belinda Carlisle,2,1,11
12/12/1987,1,Faith,George Michael,3,1,8
19/12/1987,1,Faith,George Michael,1,1,9
26/12/1987,1,Faith,George Michael,1,1,10
02/01/1988,1,Faith,George Michael,,1,11
09/01/1988,1,So Emotional,Whitney Houston,2,1,11
16/01/1988,1,Got My Mind Set On You,George Harrison,2,1,13
23/01/1988,1,The Way You Make Me Feel,Michael Jackson,3,1,10
30/01/1988,1,Need You Tonight,INXS,2,1,15
06/02/1988,1,Could've Been,Tiffany,2,1,11
13/02/1988,1,Could've Been,Tiffany,1,1,12
20/02/1988,1,Seasons Change,Expose,2,1,13
27/02/1988,1,Father Figure,George Michael,4,1,7
05/03/1988,1,Father Figure,George Michael,1,1,8
12/03/1988,1,Never Gonna Give You Up,Rick Astley,2,1,13
19/03/1988,1,Never Gonna Give You Up,Rick Astley,1,1,14
26/03/1988,1,Man In The Mirror,Michael Jackson,4,1,8
02/04/1988,1,Man In The Mirror,Michael Jackson,1,1,9
09/04/1988,1,"Get Outta My Dreams, Get Into My Car",Billy Ocean,3,1,9
16/04/1988,1,"Get Outta My Dreams, Get Into My Car",Billy Ocean,1,1,10
23/04/1988,1,Where Do Broken Hearts Go,Whitney Houston,3,1,9
30/04/1988,1,Where Do Broken Hearts Go,Whitney Houston,1,1,10
07/05/1988,1,Wishing Well,Terence Trent D'Arby,2,1,17
14/05/1988,1,Anything For You,Gloria Estefan & Miami Sound Machine,2,1,10
21/05/1988,1,Anything For You,Gloria Estefan & Miami Sound Machine,1,1,11
28/05/1988,1,One More Try,George Michael,2,1,7
04/06/1988,1,One More Try,George Michael,1,1,8
11/06/1988,1,One More Try,George Michael,1,1,9
18/06/1988,1,Together Forever,Rick Astley,2,1,10
25/06/1988,1,Foolish Beat,Debbie Gibson,3,1,10
02/07/1988,1,Dirty Diana,Michael Jackson,2,1,9
09/07/1988,1,The Flame,Cheap Trick,3,1,14
16/07/1988,1,The Flame,Cheap Trick,1,1,15
23/07/1988,1,Hold On To The Nights,Richard Marx,5,1,10
30/07/1988,1,Roll With It,Steve Winwood,4,1,8
06/08/1988,1,Roll With It,Steve Winwood,1,1,9
13/08/1988,1,Roll With It,Steve Winwood,1,1,10
20/08/1988,1,Roll With It,Steve Winwood,1,1,11
27/08/1988,1,Monkey,George Michael,2,1,8
03/09/1988,1,Monkey,George Michael,1,1,9
10/09/1988,1,Sweet Child O' Mine,Guns N' Roses,2,1,12
17/09/1988,1,Sweet Child O' Mine,Guns N' Roses,1,1,13
24/09/1988,1,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,4,1,9
01/10/1988,1,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,1,1,10
08/10/1988,1,Love Bites,Def Leppard,2,1,9
15/10/1988,1,Red Red Wine,UB40,2,1,25
22/10/1988,1,Groovy Kind Of Love,Phil Collins,3,1,8
29/10/1988,1,Groovy Kind Of Love,Phil Collins,1,1,9
05/11/1988,1,"Kokomo (From""Cocktail"" )",The Beach Boys,2,1,10
12/11/1988,1,"Wild, Wild West",The Escape Club,2,1,13
19/11/1988,1,Bad Medicine,Bon Jovi,4,1,9
26/11/1988,1,Bad Medicine,Bon Jovi,1,1,10
03/12/1988,1,"Baby, I Love Your Way/Freebird Medley",Will To Power,2,1,13
10/12/1988,1,Look Away,Chicago,2,1,12
17/12/1988,1,Look Away,Chicago,1,1,13
24/12/1988,1,Every Rose Has Its Thorn,Poison,2,1,9
31/12/1988,1,Every Rose Has Its Thorn,Poison,,1,10
07/01/1989,1,Every Rose Has Its Thorn,Poison,1,1,11
14/01/1989,1,My Prerogative,Bobby Brown,2,1,13
21/01/1989,1,Two Hearts,Phil Collins,2,1,10
28/01/1989,1,Two Hearts,Phil Collins,1,1,11
04/02/1989,1,When I'm With You,Sheriff,2,1,18
11/02/1989,1,Straight Up,Paula Abdul,2,1,11
18/02/1989,1,Straight Up,Paula Abdul,1,1,12
25/02/1989,1,Straight Up,Paula Abdul,1,1,13
04/03/1989,1,Lost In Your Eyes,Debbie Gibson,2,1,7
11/03/1989,1,Lost In Your Eyes,Debbie Gibson,1,1,8
18/03/1989,1,Lost In Your Eyes,Debbie Gibson,1,1,9
25/03/1989,1,The Living Years,Mike + The Mechanics,2,1,12
01/04/1989,1,Eternal Flame,The Bangles,2,1,9
08/04/1989,1,The Look,Roxette,3,1,9
15/04/1989,1,She Drives Me Crazy,Fine Young Cannibals,4,1,12
22/04/1989,1,Like A Prayer,Madonna,3,1,6
29/04/1989,1,Like A Prayer,Madonna,1,1,7
06/05/1989,1,Like A Prayer,Madonna,1,1,8
13/05/1989,1,I'll Be There For You,Bon Jovi,2,1,11
20/05/1989,1,Forever Your Girl,Paula Abdul,4,1,11
27/05/1989,1,Forever Your Girl,Paula Abdul,1,1,12
03/06/1989,1,"Rock On (From ""Dream A Little Dream"")",Michael Damian,3,1,12
10/06/1989,1,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,3,1,15
17/06/1989,1,I'll Be Loving You (Forever),New Kids On The Block,2,1,12
24/06/1989,1,Satisfied,Richard Marx,4,1,8
01/07/1989,1,Baby Don't Forget My Number,Milli Vanilli,4,1,10
08/07/1989,1,Good Thing,Fine Young Cannibals,2,1,10
15/07/1989,1,If You Don't Know Me By Now,Simply Red,3,1,11
22/07/1989,1,Toy Soldiers,Martika,4,1,10
29/07/1989,1,Toy Soldiers,Martika,1,1,11
05/08/1989,1,"Batdance (From ""Batman"")",Prince,2,1,8
12/08/1989,1,Right Here Waiting,Richard Marx,4,1,6
19/08/1989,1,Right Here Waiting,Richard Marx,1,1,7
26/08/1989,1,Right Here Waiting,Richard Marx,1,1,8
02/09/1989,1,Cold Hearted,Paula Abdul,2,1,11
09/09/1989,1,Hangin' Tough,New Kids On The Block,3,1,9
16/09/1989,1,Don't Wanna Lose You,Gloria Estefan,3,1,11
23/09/1989,1,Girl I'm Gonna Miss You,Milli Vanilli,2,1,8
30/09/1989,1,Girl I'm Gonna Miss You,Milli Vanilli,1,1,9
07/10/1989,1,Miss You Much,Janet Jackson,5,1,6
14/10/1989,1,Miss You Much,Janet Jackson,1,1,7
21/10/1989,1,Miss You Much,Janet Jackson,1,1,8
28/10/1989,1,Miss You Much,Janet Jackson,1,1,9
04/11/1989,1,Listen To Your Heart,Roxette,3,1,11
11/11/1989,1,When I See You Smile,Bad English,5,1,9
18/11/1989,1,When I See You Smile,Bad English,1,1,10
25/11/1989,1,Blame It On The Rain,Milli Vanilli,2,1,8
02/12/1989,1,Blame It On The Rain,Milli Vanilli,1,1,9
09/12/1989,1,We Didn't Start The Fire,Billy Joel,2,1,9
16/12/1989,1,We Didn't Start The Fire,Billy Joel,1,1,10
23/12/1989,1,Another Day In Paradise,Phil Collins,2,1,8
30/12/1989,1,Another Day In Paradise,Phil Collins,,1,9
06/01/1990,1,Another Day In Paradise,Phil Collins,1,1,10
13/01/1990,1,Another Day In Paradise,Phil Collins,1,1,11
20/01/1990,1,How Am I Supposed To Live Without You,Michael Bolton,4,1,13
27/01/1990,1,How Am I Supposed To Live Without You,Michael Bolton,1,1,14
03/02/1990,1,How Am I Supposed To Live Without You,Michael Bolton,1,1,15
10/02/1990,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),2,1,9
17/02/1990,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1,1,10
24/02/1990,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1,1,11
03/03/1990,1,Escapade,Janet Jackson,2,1,7
10/03/1990,1,Escapade,Janet Jackson,1,1,8
17/03/1990,1,Escapade,Janet Jackson,1,1,9
24/03/1990,1,Black Velvet,Alannah Myles,2,1,12
31/03/1990,1,Black Velvet,Alannah Myles,1,1,13
07/04/1990,1,Love Will Lead You Back,Taylor Dayne,2,1,11
14/04/1990,1,I'll Be Your Everything,Tommy Page,2,1,9
21/04/1990,1,Nothing Compares 2 U,Sinead O'Connor,4,1,6
28/04/1990,1,Nothing Compares 2 U,Sinead O'Connor,1,1,7
05/05/1990,1,Nothing Compares 2 U,Sinead O'Connor,1,1,8
12/05/1990,1,Nothing Compares 2 U,Sinead O'Connor,1,1,9
19/05/1990,1,Vogue,Madonna,2,1,6
26/05/1990,1,Vogue,Madonna,1,1,7
02/06/1990,1,Vogue,Madonna,1,1,8
09/06/1990,1,Hold On,Wilson Phillips,3,1,13
16/06/1990,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,5,1,11
23/06/1990,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,1,1,12
30/06/1990,1,Step By Step,New Kids On The Block,2,1,6
07/07/1990,1,Step By Step,New Kids On The Block,1,1,7
14/07/1990,1,Step By Step,New Kids On The Block,1,1,8
21/07/1990,1,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,2,1,10
28/07/1990,1,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,1,1,11
04/08/1990,1,Vision Of Love,Mariah Carey,2,1,10
11/08/1990,1,Vision Of Love,Mariah Carey,1,1,11
18/08/1990,1,Vision Of Love,Mariah Carey,1,1,12
25/08/1990,1,Vision Of Love,Mariah Carey,1,1,13
01/09/1990,1,If Wishes Came True,Sweet Sensation,3,1,12
08/09/1990,1,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,2,1,8
15/09/1990,1,Release Me,Wilson Phillips,2,1,12
22/09/1990,1,Release Me,Wilson Phillips,1,1,13
29/09/1990,1,(Can't Live Without Your) Love And Affection,Nelson,4,1,13
06/10/1990,1,Close To You,Maxi Priest,2,1,15
13/10/1990,1,Praying For Time,George Michael,2,1,7
20/10/1990,1,I Don't Have The Heart,James Ingram,3,1,12
27/10/1990,1,Black Cat,Janet Jackson,2,1,7
03/11/1990,1,Ice Ice Baby,Vanilla Ice,3,1,9
10/11/1990,1,Love Takes Time,Mariah Carey,3,1,9
17/11/1990,1,Love Takes Time,Mariah Carey,1,1,10
24/11/1990,1,Love Takes Time,Mariah Carey,1,1,11
01/12/1990,1,I'm Your Baby Tonight,Whitney Houston,3,1,7
08/12/1990,1,Because I Love You (The Postman Song),Stevie B,3,1,10
15/12/1990,1,Because I Love You (The Postman Song),Stevie B,1,1,11
22/12/1990,1,Because I Love You (The Postman Song),Stevie B,1,1,12
29/12/1990,1,Because I Love You (The Postman Song),Stevie B,,1,13
05/01/1991,1,Justify My Love,Madonna,2,1,8
12/01/1991,1,Justify My Love,Madonna,1,1,9
19/01/1991,1,Love Will Never Do (Without You),Janet Jackson,4,1,10
26/01/1991,1,The First Time,Surface,4,1,13
02/02/1991,1,The First Time,Surface,1,1,14
09/02/1991,1,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,2,1,13
16/02/1991,1,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1,1,14
23/02/1991,1,All The Man That I Need,Whitney Houston,2,1,10
02/03/1991,1,All The Man That I Need,Whitney Houston,1,1,11
09/03/1991,1,Someday,Mariah Carey,2,1,8
16/03/1991,1,Someday,Mariah Carey,1,1,9
23/03/1991,1,One More Try,Timmy T.,2,1,14
30/03/1991,1,Coming Out Of The Dark,Gloria Estefan,3,1,10
06/04/1991,1,Coming Out Of The Dark,Gloria Estefan,1,1,11
13/04/1991,1,I've Been Thinking About You,Londonbeat,2,1,10
20/04/1991,1,You're In Love,Wilson Phillips,2,1,11
